wwtp,day_index,sim,part.class,threshold_mode,hourly_settle_exposure_HRT,daily_settle_exposure_HRT,hourly_resusp_exposure_HRT,daily_resusp_exposure_HRT,difference_settle_hourly_minus_daily,difference_resusp_hourly_minus_daily
south,3,1,5,midpoint,0.9035280294432145,0.9017360313835522,0.04727919582111511,0.04665829903312145,0.0017919980596623475,6.208967879936592e-4
south,3,1,6,midpoint,0.9253659368250329,0.9256084134267142,0.028052186116251716,0.028077383905641913,-2.4247660168130736e-4,-2.519778939019668e-5
south,3,1,7,midpoint,0.9356752163108194,0.9350181030776014,0.007722414880073757,0.006344136278623824,6.571132332180429e-4,0.0013782786014499334
south,3,1,8,midpoint,0.943601746278375,0.9434974823767236,0,0,1.0426390165141353e-4,0
south,4,1,1,midpoint,0.7514070660125207,0.7382569044567424,0.22506651276397682,0.23672744025862164,0.013150161555778306,-0.011660927494644813
south,4,1,2,midpoint,0.8001252615051969,0.7915077240649042,0.1924934353087137,0.19876126990909013,0.0086175374402927,-0.006267834600376415
south,4,1,3,midpoint,0.836110917848624,0.8269697984534139,0.10801283353613907,0.10902691071646556,0.009141119395210118,-0.001014077180326492
south,4,1,4,midpoint,0.867973750353028,0.8641022052862324,0.06843909522091582,0.06865552424577666,0.0038715450667956564,-2.164290248608397e-4
south,4,1,5,midpoint,0.902872044467888,0.9016482368033645,0.04758270720998787,0.04723984081689794,0.0012238076645235685,3.428663930899259e-4
south,4,1,6,midpoint,0.9250238137955726,0.925270895117012,0.028183677660528882,0.028020549030343126,-2.4708132143935746e-4,1.6312863018575624e-4
south,4,1,7,midpoint,0.9352997207577152,0.9349179756249211,0.007784376459203535,0.006452638344742019,3.8174513279409794e-4,0.0013317381144615165
south,4,1,8,midpoint,0.9432921244012457,0.9434284270732172,0,0,-1.3630267197151102e-4,0
south,5,1,1,midpoint,0.7519089560918768,0.7401252233635842,0.2247955203589864,0.23800519192867806,0.011783732728292584,-0.013209671569691661
south,5,1,2,midpoint,0.8003402785066085,0.7899453236324934,0.19207523067118534,0.1996623920065554,0.010394954874115125,-0.007587161335370046
south,5,1,3,midpoint,0.8364744309806805,0.8280045614051886,0.1076084960474786,0.10890960472241895,0.008469869575491895,-0.0013011086749403489
south,5,1,4,midpoint,0.8682685043727766,0.8642559860642811,0.06828301037688062,0.06849676638392242,0.004012518308495472,-2.1375600704180708e-4
south,5,1,5,midpoint,0.9032724494342791,0.901670215903911,0.04746063301268902,0.04691021250548186,0.0016022335303680357,5.504205072071611e-4
south,5,1,6,midpoint,0.9252158738850922,0.9257363518211483,0.028119568492518655,0.028240538226488567,-5.204779360561407e-4,-1.2096973396991118e-4
south,5,1,7,midpoint,0.9354421521672304,0.9348924396450948,0.007725823607655441,0.006376321961221295,5.49712522135537e-4,0.0013495016464341461
south,5,1,8,midpoint,0.9434356580999872,0.943510214178457,0,0,-7.455607846984513e-5,0
south,6,1,1,midpoint,0.7594435196826993,0.7438139990160852,0.2183990989894563,0.233613410997868,0.01562952066661405,-0.015214312008411696
south,6,1,2,midpoint,0.8063056796610965,0.7953670182465207,0.1864851386431408,0.19768326702733083,0.010938661414575779,-0.011198128384190015
south,6,1,3,midpoint,0.8423029979695352,0.8315638287390743,0.10381941891925114,0.10554285290419978,0.010739169230460921,-0.001723433984948633
south,6,1,4,midpoint,0.8724103676749125,0.8676331213172868,0.06595743361820995,0.06632502537586588,0.004777246357625775,-3.6759175765592456e-4
south,6,1,5,midpoint,0.9064984571283952,0.904543563016271,0.045751063135408325,0.04529945594549384,0.001954894112124128,4.516071899144866e-4
south,6,1,6,midpoint,0.9278970571913687,0.9281824063569852,0.027099629601684667,0.02726310792266902,-2.853491656165108e-4,-1.6347832098435183e-4
south,6,1,7,midpoint,0.93755191918281,0.9372304541788642,0.007492088711450807,0.005778355422102486,3.214650039458089e-4,0.0017137332893483207
south,6,1,8,midpoint,0.9452795113008489,0.9455284905242036,0,0,-2.4897922335476164e-4,0
west,1,1,1,midpoint,0.7469504183289942,0.7255328617723744,0.22222299622596375,0.2268461800803365,0.02141755655661981,-0.004623183854372742
west,1,1,2,midpoint,0.814315071947963,0.8113417993722649,0.17754466142556244,0.18333198426375208,0.002973272575698127,-0.00578732283818964
west,1,1,3,midpoint,0.863574149867023,0.8633012294964865,0.08370037704659673,0.08452543593857309,2.729203705365002e-4,-8.250588919763574e-4
west,1,1,4,midpoint,0.897559949227539,0.8979099302824034,0.05518207780701465,0.05561585905799629,-3.4998105486439e-4,-4.337812509816394e-4
west,1,1,5,midpoint,0.922749804160613,0.9239385458738367,0.039420951459353135,0.03958682816493361,-0.0011887417132236955,-1.658767055804783e-4
west,1,1,6,midpoint,0.9392584327038963,0.9382530291774887,0.023292110915268095,0.023133816884292717,0.0010054035264076555,1.582940309753783e-4
west,1,1,7,midpoint,0.9482931444210275,0.9479000415492307,0.006032039845674656,0.0039613419060559076,3.9310287179683545e-4,0.002070697939618748
west,1,1,8,midpoint,0.9541833586897694,0.9531250470153408,0,0,0.0010583116744286025,0
west,2,1,1,midpoint,0.7474939475178217,0.7281584346024003,0.22172790720068147,0.22510372468918122,0.01933551291542146,-0.003375817488499744
west,2,1,2,midpoint,0.8146526481864954,0.8116667262871378,0.17696059333213668,0.18188607327260528,0.0029859218993576464,-0.004925479940468602
