wwtp,part.class,bin,count,level,bin_left,bin_right,bin_mid
north,3,17,52277,Pipe,0.8500000000000001,0.9,0.875
north,7,12,13730,Pipe,0.6000000000000001,0.65,0.625
north,1,13,13443,Pipe,0.65,0.7000000000000001,0.675
south,1,8,3126,Pipe,0.4,0.45,0.42500000000000004
north,1,4,35475,Pipe,0.2,0.25,0.225
west,5,6,2037,Pipe,0.30000000000000004,0.35000000000000003,0.325
west,6,12,1519,Pipe,0.6000000000000001,0.65,0.625
north,8,2,3507,Pipe,0.1,0.15000000000000002,0.125
south,4,8,3677,Pipe,0.4,0.45,0.42500000000000004
south,5,14,6018,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,2,7,2693,Pipe,0.35000000000000003,0.4,0.375
west,3,13,3295,Pipe,0.65,0.7000000000000001,0.675
west,2,10,2566,Pipe,0.5,0.55,0.525
west,3,15,3667,Pipe,0.75,0.8,0.775
west,4,8,2321,Pipe,0.4,0.45,0.42500000000000004
west,4,7,2390,Pipe,0.35000000000000003,0.4,0.375
west,5,14,2677,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,4,4,2410,Pipe,0.2,0.25,0.225
west,2,3,3716,Pipe,0.15000000000000002,0.2,0.17500000000000002
west,2,2,4423,Pipe,0.1,0.15000000000000002,0.125
west,3,5,2378,Pipe,0.25,0.30000000000000004,0.275
west,4,14,3174,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,5,18,6046,Pipe,0.9,0.9500000000000001,0.925
west,2,17,5723,Pipe,0.8500000000000001,0.9,0.875
west,3,2,4915,Pipe,0.1,0.15000000000000002,0.125
west,4,9,2161,Pipe,0.45,0.5,0.47500000000000003
west,3,7,2147,Pipe,0.35000000000000003,0.4,0.375
west,4,17,5195,Pipe,0.8500000000000001,0.9,0.875
west,2,8,2797,Pipe,0.4,0.45,0.42500000000000004
west,3,14,3648,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,1,3,5127,Pipe,0.15000000000000002,0.2,0.17500000000000002
west,2,18,7222,Pipe,0.9,0.9500000000000001,0.925
west,2,4,3189,Pipe,0.2,0.25,0.225
west,5,1,1294,Pipe,0.05,0.1,0.07500000000000001
west,6,9,1096,Pipe,0.45,0.5,0.47500000000000003
west,7,18,2845,Pipe,0.9,0.9500000000000001,0.925
west,3,6,2304,Pipe,0.30000000000000004,0.35000000000000003,0.325
west,2,5,2983,Pipe,0.25,0.30000000000000004,0.275
west,3,9,2330,Pipe,0.45,0.5,0.47500000000000003
west,5,13,2532,Pipe,0.65,0.7000000000000001,0.675
west,6,18,5810,Pipe,0.9,0.9500000000000001,0.925
west,2,6,2757,Pipe,0.30000000000000004,0.35000000000000003,0.325
west,3,11,2676,Pipe,0.55,0.6000000000000001,0.5750000000000001
west,4,18,7490,Pipe,0.9,0.9500000000000001,0.925
north,7,11,12925,Pipe,0.55,0.6000000000000001,0.5750000000000001
west,5,12,2546,Pipe,0.6000000000000001,0.65,0.625
west,1,4,4308,Pipe,0.2,0.25,0.225
west,4,2,2180,Pipe,0.1,0.15000000000000002,0.125
west,5,7,2053,Pipe,0.35000000000000003,0.4,0.375
west,6,13,1681,Pipe,0.65,0.7000000000000001,0.675
north,1,8,20558,Pipe,0.4,0.45,0.42500000000000004
south,7,5,1239,Pipe,0.25,0.30000000000000004,0.275
south,8,13,1489,Pipe,0.65,0.7000000000000001,0.675
south,3,3,4884,Pipe,0.15000000000000002,0.2,0.17500000000000002
south,4,10,3779,Pipe,0.5,0.55,0.525
south,1,10,3232,Pipe,0.5,0.55,0.525
south,2,11,3247,Pipe,0.55,0.6000000000000001,0.5750000000000001
south,3,17,6216,Pipe,0.8500000000000001,0.9,0.875
