wwtp,bin,count,bin_left,bin_right,bin_mid,mean_value,median_value,scenario
south,17,58482,0.8500000000000001,0.9,0.875,0.4706978256314324,0.4720441341737812,Homogeneous
south,1,4728,0.05,0.1,0.07500000000000001,0.4706978256314324,0.4720441341737812,Homogeneous
south,10,50947,0.5,0.55,0.525,0.4706978256314324,0.4720441341737812,Homogeneous
south,11,30921,0.55,0.6000000000000001,0.5750000000000001,0.4706978256314324,0.4720441341737812,Homogeneous
south,14,32418,0.7000000000000001,0.75,0.7250000000000001,0.4706978256314324,0.4720441341737812,Homogeneous
south,16,52384,0.8,0.8500000000000001,0.8250000000000001,0.4706978256314324,0.4720441341737812,Homogeneous
south,13,20354,0.65,0.7000000000000001,0.675,0.4706978256314324,0.4720441341737812,Homogeneous
south,3,3804,0.15000000000000002,0.2,0.17500000000000002,0.4706978256314324,0.4720441341737812,Homogeneous
west,17,37069,0.8500000000000001,0.9,0.875,0.5750491599357787,0.5542354497833777,Homogeneous
west,8,49050,0.4,0.45,0.42500000000000004,0.5750491599357787,0.5542354497833777,Homogeneous
west,4,23100,0.2,0.25,0.225,0.5750491599357787,0.5542354497833777,Homogeneous
west,7,25843,0.35000000000000003,0.4,0.375,0.5750491599357787,0.5542354497833777,Homogeneous
west,11,24167,0.55,0.6000000000000001,0.5750000000000001,0.5750491599357787,0.5542354497833777,Homogeneous
west,14,28748,0.7000000000000001,0.75,0.7250000000000001,0.5750491599357787,0.5542354497833777,Homogeneous
west,18,40819,0.9,0.9500000000000001,0.925,0.5750491599357787,0.5542354497833777,Homogeneous
west,15,51037,0.75,0.8,0.775,0.5750491599357787,0.5542354497833777,Homogeneous
west,19,59618,0.9500000000000001,1,0.9750000000000001,0.5750491599357787,0.5542354497833777,Homogeneous
west,16,18051,0.8,0.8500000000000001,0.8250000000000001,0.5750491599357787,0.5542354497833777,Homogeneous
west,9,81571,0.45,0.5,0.47500000000000003,0.5750491599357787,0.5542354497833777,Homogeneous
west,12,34628,0.6000000000000001,0.65,0.625,0.5750491599357787,0.5542354497833777,Homogeneous
west,5,8294,0.25,0.30000000000000004,0.275,0.5750491599357787,0.5542354497833777,Homogeneous
west,13,17761,0.65,0.7000000000000001,0.675,0.5750491599357787,0.5542354497833777,Homogeneous
west,0,2500,0,0.05,0.025,0.5750491599357787,0.5542354497833777,Homogeneous
west,10,23594,0.5,0.55,0.525,0.5750491599357787,0.5542354497833777,Homogeneous
west,6,6084,0.30000000000000004,0.35000000000000003,0.325,0.5750491599357787,0.5542354497833777,Homogeneous
west,3,33714,0.15000000000000002,0.2,0.17500000000000002,0.5750491599357787,0.5542354497833777,Homogeneous
west,2,52352,0.1,0.15000000000000002,0.125,0.5750491599357787,0.5542354497833777,Homogeneous
