simulation,location,sample_fraction,effective_surveillance_coverage_percent
74,South,Liquid,41.40499303839212
74,West,Total,83.69768948338805
74,West,Solids,43.253033733669135
74,West,Liquid,41.23836642762403
75,North,Total,77.43841534621943
75,North,Solids,46.38673385324185
75,North,Liquid,32.14013953532315
75,South,Total,86.91269158255506
75,South,Solids,54.97090331380045
75,South,Liquid,32.46039425684978
75,West,Total,82.07870906021701
75,West,Solids,50.57734793940286
75,West,Liquid,32.31403500588847
76,North,Total,84.60344125350848
76,North,Solids,35.580274820500456
76,North,Liquid,49.79422332377767
76,South,Total,90.6983382567772
76,South,Solids,40.94979679296896
76,South,Liquid,50.134725367734426
76,West,Total,87.4223425486975
76,West,Solids,38.112522184624865
76,West,Liquid,49.89520884634458
77,North,Total,80.53167011283345
77,North,Solids,32.965233663033835
77,North,Liquid,47.73772158486131
77,South,Total,87.13101424691047
77,South,Solids,38.47746664806862
77,South,Liquid,48.71311844694183
77,West,Total,83.97616758990432
77,West,Solids,35.56673024711442
77,West,Liquid,48.53474297675062
78,North,Total,84.96275242882412
78,North,Solids,26.140887411831905
78,North,Liquid,58.76154930901378
78,South,Total,90.15707878103973
78,South,Solids,30.625094154466165
78,South,Liquid,59.50567886005954
78,West,Total,87.58268757901861
78,West,Solids,28.382940786776544
78,West,Liquid,59.15632771905425
79,North,Total,80.4105132853073
79,North,Solids,38.71909985725372
79,North,Liquid,44.19842071661731
79,South,Total,88.49045332203382
79,South,Solids,45.221062450850866
79,South,Liquid,44.518768438935346
79,West,Total,84.2228452544679
79,West,Solids,41.8535352128112
79,West,Liquid,44.244413719608964
80,North,Total,79.21163459989137
80,North,Solids,37.16174325349469
80,North,Liquid,44.85093990445871
80,South,Total,87.99167335683124
80,South,Solids,44.03850090925052
80,South,Liquid,45.26741282692156
80,West,Total,83.52196551727893
80,West,Solids,40.541985956245185
80,West,Liquid,45.04833028795767
81,North,Total,79.84893989577135
81,North,Solids,36.297188138790155
81,North,Liquid,47.432768210185685
81,South,Total,88.50330810185604
81,South,Solids,42.82476440546649
81,South,Liquid,47.66917475648001
81,West,Total,84.0033404984457
81,West,Solids,39.47030589569361
