wwtp,particle_class,hydraulic_level,bin_left_proportion,bin_right_proportion,bin_mid_proportion,observation_count
south,2,Pipe,0.25,0.30000000000000004,0.275,4116
south,1,Pipe,0.45,0.5,0.475,3020
south,6,Pipe,0.05,0.1,0.07500000000000001,2289
west,1,Pipe,0.1,0.15000000000000002,0.125,6810
west,2,Pipe,0.8,0.8500000000000001,0.8250000000000001,4872
west,2,Pipe,0.7000000000000001,0.75,0.7250000000000001,3603
north,7,Pipe,0.30000000000000004,0.35000000000000003,0.325,10025
north,8,Pipe,0.65,0.7000000000000001,0.675,9767
south,5,Pipe,0.1,0.15000000000000002,0.125,5456
south,6,Pipe,0.30000000000000004,0.35000000000000003,0.325,2832
south,7,Pipe,0.8,0.8500000000000001,0.8250000000000001,3639
south,6,Pipe,0.35000000000000003,0.4,0.375,2875
south,7,Pipe,0.45,0.5,0.475,1504
south,4,Pipe,0.1,0.15000000000000002,0.125,4653
south,5,Pipe,0.2,0.25,0.225,4546
south,1,Pipe,0.05,0.1,0.07500000000000001,9174
south,2,Pipe,0.65,0.7000000000000001,0.675,3633
south,1,Pipe,0.6000000000000001,0.65,0.625,2664
south,2,Pipe,0.45,0.5,0.475,3265
south,5,Pipe,0.55,0.6000000000000001,0.5750000000000001,4770
south,1,Pipe,0.2,0.25,0.225,4470
south,4,Pipe,0.2,0.25,0.225,3787
west,6,Pipe,0.05,0.1,0.07500000000000001,917
west,7,Pipe,0.7000000000000001,0.75,0.7250000000000001,1093
west,6,Pipe,0.15000000000000002,0.2,0.17500000000000002,1025
west,7,Pipe,0.30000000000000004,0.35000000000000003,0.325,680
south,5,Pipe,0.8,0.8500000000000001,0.8250000000000001,8384
south,7,Pipe,0.75,0.8,0.775,2855
south,6,Pipe,0.8,0.8500000000000001,0.8250000000000001,5514
south,4,Pipe,0.8500000000000001,0.9,0.875,8363
south,5,Pipe,0.4,0.45,0.425,4182
south,6,Pipe,0.6000000000000001,0.65,0.625,3901
south,3,Pipe,0.7000000000000001,0.75,0.7250000000000001,4037
south,8,Pipe,0.1,0.15000000000000002,0.125,757
south,5,Pipe,0.45,0.5,0.475,3964
south,7,Pipe,0.1,0.15000000000000002,0.125,1649
south,8,Pipe,0.45,0.5,0.475,871
west,5,Pipe,0.1,0.15000000000000002,0.125,2172
west,6,Pipe,0.35000000000000003,0.4,0.375,855
south,5,Pipe,0.25,0.30000000000000004,0.275,4001
south,5,Pipe,0.30000000000000004,0.35000000000000003,0.325,3701
west,8,Pipe,0.35000000000000003,0.4,0.375,235
west,8,Pipe,0.8,0.8500000000000001,0.8250000000000001,1137
west,3,Pipe,0.2,0.25,0.225,2443
west,8,Pipe,0.8500000000000001,0.9,0.875,1228
north,1,Pipe,0.55,0.6000000000000001,0.5750000000000001,15279
north,7,Pipe,0.15000000000000002,0.2,0.17500000000000002,7667
north,7,Pipe,0.35000000000000003,0.4,0.375,10284
north,8,Pipe,0.4,0.45,0.425,5644
north,1,Pipe,0.45,0.5,0.475,17745
north,6,Pipe,0.2,0.25,0.225,20575
north,1,Pipe,0.35000000000000003,0.4,0.375,24081
west,1,Pipe,0.95,1,0.975,6718
west,8,Pipe,0.75,0.8,0.775,1060
west,7,Pipe,0.45,0.5,0.475,749
west,8,Pipe,0.9,0.95,0.925,2024
west,6,Pipe,0.30000000000000004,0.35000000000000003,0.325,832
west,6,Pipe,0.8,0.8500000000000001,0.8250000000000001,2832
west,2,Pipe,0.45,0.5,0.475,2421
west,3,Pipe,0.8500000000000001,0.9,0.875,4787
west,3,Pipe,0.8,0.8500000000000001,0.8250000000000001,3976
west,7,Pipe,0.55,0.6000000000000001,0.5750000000000001,854
west,5,Pipe,0.8,0.8500000000000001,0.8250000000000001,3485
west,7,Pipe,0.8,0.8500000000000001,0.8250000000000001,1196
west,6,Pipe,0.25,0.30000000000000004,0.275,937
west,8,Pipe,0.7000000000000001,0.75,0.7250000000000001,1007
west,3,Pipe,0.6000000000000001,0.65,0.625,2954
west,2,Pipe,0.6000000000000001,0.65,0.625,3037
west,4,Pipe,0.6000000000000001,0.65,0.625,2539
west,1,Pipe,0.9,0.95,0.925,3568
west,1,Pipe,0.75,0.8,0.775,1978
west,1,Pipe,0.45,0.5,0.475,3146
west,1,Pipe,0.65,0.7000000000000001,0.675,2788
west,1,Pipe,0.8500000000000001,0.9,0.875,2710
west,6,Pipe,0.5,0.55,0.525,1188
west,1,Pipe,0.30000000000000004,0.35000000000000003,0.325,3495
west,5,Pipe,0.8500000000000001,0.9,0.875,3762
west,1,Pipe,0.7000000000000001,0.75,0.7250000000000001,2513
west,1,Pipe,0.55,0.6000000000000001,0.5750000000000001,2809
west,5,Pipe,0.55,0.6000000000000001,0.5750000000000001,2382
west,1,Pipe,0.6000000000000001,0.65,0.625,2730
west,3,Pipe,0.4,0.45,0.425,2058
west,7,Pipe,0.5,0.55,0.525,816
west,1,Pipe,0.5,0.55,0.525,3094
west,2,Pipe,0.75,0.8,0.775,4058
west,2,Pipe,0.55,0.6000000000000001,0.5750000000000001,2813
west,5,Pipe,0.4,0.45,0.425,1939
west,8,Pipe,0.55,0.6000000000000001,0.5750000000000001,731
north,1,Pipe,0.6000000000000001,0.65,0.625,13576
north,1,Pipe,0.95,1,0.975,12549
north,1,Pipe,0.75,0.8,0.775,10130
north,1,Pipe,0.8500000000000001,0.9,0.875,7412
north,1,Pipe,0.7000000000000001,0.75,0.7250000000000001,11840
north,8,Pipe,0.5,0.55,0.525,6819
north,8,Pipe,0.30000000000000004,0.35000000000000003,0.325,4588
south,7,Pipe,0.30000000000000004,0.35000000000000003,0.325,1208
south,2,Pipe,0.6000000000000001,0.65,0.625,3297
south,4,Pipe,0.8,0.8500000000000001,0.8250000000000001,6572
south,2,Pipe,0.75,0.8,0.775,4306
south,1,Pipe,0.65,0.7000000000000001,0.675,2343
south,1,Pipe,0.7000000000000001,0.75,0.7250000000000001,1925
south,4,Pipe,0.35000000000000003,0.4,0.375,3625
south,5,Pipe,0.65,0.7000000000000001,0.675,5469
south,8,Pipe,0.5,0.55,0.525,819
south,8,Pipe,0.8500000000000001,0.9,0.875,3193
south,2,Pipe,0.7000000000000001,0.75,0.7250000000000001,3950
south,2,Pipe,0.2,0.25,0.225,4513
south,3,Pipe,0.4,0.45,0.425,4077
south,8,Pipe,0.7000000000000001,0.75,0.7250000000000001,1875
south,3,Pipe,0.65,0.7000000000000001,0.675,3643
south,1,Pipe,0.35000000000000003,0.4,0.375,3156
south,2,Pipe,0.5,0.55,0.525,3379
south,2,Pipe,0.8,0.8500000000000001,0.8250000000000001,4826
south,4,Pipe,0.30000000000000004,0.35000000000000003,0.325,3719
south,8,Pipe,0.25,0.30000000000000004,0.275,1284
south,6,Pipe,0.25,0.30000000000000004,0.275,3066
south,7,Pipe,0.2,0.25,0.225,1431
south,6,Pipe,0.75,0.8,0.775,4810
south,1,Pipe,0.25,0.30000000000000004,0.275,3724
south,1,Pipe,0.95,1,0.975,5751
south,1,Pipe,0.8,0.8500000000000001,0.8250000000000001,1364
south,1,Pipe,0.8500000000000001,0.9,0.875,1302
south,1,Pipe,0.55,0.6000000000000001,0.5750000000000001,3060
south,3,Pipe,0.6000000000000001,0.65,0.625,3460
south,7,Pipe,0.15000000000000002,0.2,0.17500000000000002,1394
south,7,Pipe,0.05,0.1,0.07500000000000001,1769
