simulation,location,sample_fraction,minimum_detectable_prevalence_percent
33,South,Liquid,0.09041986945399455
33,West,Total,0.060074762508868555
33,West,Solids,0.18254747238104085
33,West,Liquid,0.08896913291850307
34,North,Total,0.07454654308394584
34,North,Solids,0.14599095183515304
34,North,Liquid,0.1505606003943795
34,South,Total,0.06508646279034444
34,South,Solids,0.1214192964416881
34,South,Liquid,0.14212942259665623
34,West,Total,0.06461158192361353
34,West,Solids,0.12400278948655452
34,West,Liquid,0.13409716079178224
35,North,Total,0.06857632257940449
35,North,Solids,0.126689469824414
35,North,Liquid,0.1475599837419085
35,South,Total,0.06104597940997597
35,South,Solids,0.10441569136600856
35,South,Liquid,0.1461509833980394
35,West,Total,0.06152085054186605
35,West,Solids,0.10672523122536963
35,West,Liquid,0.14506646280501834
36,North,Total,0.07072934815026408
36,North,Solids,0.12501857056972654
36,North,Liquid,0.16583143530672848
36,South,Total,0.06257451658240593
36,South,Solids,0.1025898538686629
36,South,Liquid,0.16170879994002452
36,West,Total,0.06269753551173703
36,West,Solids,0.10505083292876949
36,West,Liquid,0.15777570995372137
37,North,Total,0.06423148190201605
37,North,Solids,0.13530160255140156
37,North,Liquid,0.1365704533454702
37,South,Total,0.059617303723772115
37,South,Solids,0.11141904912934293
37,South,Liquid,0.13459031878945055
37,West,Total,0.059532813700581444
37,West,Solids,0.11408510625980368
37,West,Liquid,0.13287021329878435
38,North,Total,0.0674072980445049
38,North,Solids,0.1700949207485691
38,North,Liquid,0.10579949194828876
38,South,Total,0.06067653321886287
38,South,Solids,0.13990953898297503
38,South,Liquid,0.10464460898184207
38,West,Total,0.06109631615459346
38,West,Solids,0.143519906329643
38,West,Liquid,0.1037109362152319
39,North,Total,0.06979991314752548
39,North,Solids,0.11859427449212394
39,North,Liquid,0.16750204749348158
39,South,Total,0.06146237831965691
39,South,Solids,0.09731029173818043
39,South,Liquid,0.16597341040701075
39,West,Total,0.06211511559678684
39,West,Solids,0.09969550092060868
39,West,Liquid,0.16472174233288334
40,North,Total,0.07297498377359977
40,North,Solids,0.1455409799827872
40,North,Liquid,0.13856150412376564
40,South,Total,0.06351303994199622
40,South,Solids,0.11935652644074375
40,South,Liquid,0.1340334860004095
40,West,Total,0.06373319167553419
40,West,Solids,0.12224391922360835
40,West,Liquid,0.12963294962351934
41,North,Total,0.0793473442950525
41,North,Solids,0.14270166511787108
41,North,Liquid,0.18280462126016844
41,South,Total,0.06681864622209271
41,South,Solids,0.11653121427048697
41,South,Liquid,0.16745980474378036
41,West,Total,0.06680977897540641
41,West,Solids,0.11954761038143558
41,West,Liquid,0.15368590750854227
42,North,Total,0.06694869896670852
42,North,Solids,0.17826996080831506
42,North,Liquid,0.10309084186425062
42,South,Total,0.06061966838358017
42,South,Solids,0.14577715533993546
42,South,Liquid,0.10196625788164793
42,West,Total,0.06088193995158895
42,West,Solids,0.1491663727959936
42,West,Liquid,0.10112475440179117
43,North,Total,0.07279756224867512
43,North,Solids,0.19129277446009246
43,North,Liquid,0.10968109414843795
43,South,Total,0.0637546780321124
43,South,Solids,0.15853265318207596
43,South,Liquid,0.10552548946642845
43,West,Total,0.06373410690203543
43,West,Solids,0.1618578247129576
43,West,Liquid,0.10159898944943721
44,North,Total,0.0687624160162079
44,North,Solids,0.12355435520894911
44,North,Liquid,0.15441400696770094
44,South,Total,0.06113178855071365
44,South,Solids,0.10192593440325394
44,South,Liquid,0.15260413954520127
44,West,Total,0.06161986839632548
44,West,Solids,0.10429747130852747
44,West,Liquid,0.15104471351883458
45,North,Total,0.07135623616817739
45,North,Solids,0.12336805542155559
45,North,Liquid,0.1684934269136624
45,South,Total,0.06309053039352787
45,South,Solids,0.10343873356748906
45,South,Liquid,0.16204596778567948
45,West,Total,0.06303571415255017
45,West,Solids,0.10565814552622513
45,West,Liquid,0.15592988307613032
46,North,Total,0.0669542376271271
46,North,Solids,0.1556051162496952
46,North,Liquid,0.12100637199879609
46,South,Total,0.061230579532249155
46,South,Solids,0.12859947812220657
46,South,Liquid,0.11830137523540207
46,West,Total,0.06089586618846387
46,West,Solids,0.13130299232622572
46,West,Liquid,0.11575988060445425
47,North,Total,0.0721201463609592
47,North,Solids,0.14290100600389738
47,North,Liquid,0.1293055172451014
47,South,Total,0.06252917474403237
47,South,Solids,0.11872998701612186
47,South,Liquid,0.12667790407439888
47,West,Total,0.06317074960708098
47,West,Solids,0.12124255931179209
47,West,Liquid,0.12425575989454185
48,North,Total,0.06764640391576292
48,North,Solids,0.13889620731333202
48,North,Liquid,0.13711679452563832
48,South,Total,0.061577128674889944
48,South,Solids,0.11560511583976874
48,South,Liquid,0.1335919778990497
48,West,Total,0.06127999681450099
48,West,Solids,0.11824058871408724
48,West,Liquid,0.13026495095458712
49,North,Total,0.07310728314222752
49,North,Solids,0.1186193981798716
49,North,Liquid,0.1881154556854715
49,South,Total,0.06345641297111067
49,South,Solids,0.09733646034031836
49,South,Liquid,0.1820432591161663
49,West,Total,0.06378900860849908
49,West,Solids,0.09966184467964305
49,West,Liquid,0.17647635436086684
50,North,Total,0.06982859206623322
50,North,Solids,0.15337961677166348
50,North,Liquid,0.12517605138024887
50,South,Total,0.06204779973170406
50,South,Solids,0.12502820737538964
50,South,Liquid,0.12228140721716971
50,West,Total,0.062234393743013594
50,West,Solids,0.12858078848641155
50,West,Liquid,0.11948200287272051
51,North,Total,0.07028541009701718
51,North,Solids,0.2607363611892511
51,North,Liquid,0.09345736627150547
51,South,Total,0.06351190452537306
51,South,Solids,0.21638474781359193
51,South,Liquid,0.0897251170809333
51,West,Total,0.06260407645704322
51,West,Solids,0.2208077852566009
51,West,Liquid,0.08614776845122252
52,North,Total,0.07370046254682616
52,North,Solids,0.15703879712896587
52,North,Liquid,0.13073474273383479
52,South,Total,0.06396540947707019
52,South,Solids,0.12944972195557944
52,South,Liquid,0.1255672853979717
52,West,Total,0.06401217919155806
52,West,Solids,0.13220179761755252
52,West,Liquid,0.12047996960544513
53,North,Total,0.0695437346832937
53,North,Solids,0.18843436897530347
53,North,Liquid,0.11076714198187695
53,South,Total,0.06306325127346024
53,South,Solids,0.1547871515855603
53,South,Liquid,0.10668626164296985
53,West,Total,0.06220966608590961
53,West,Solids,0.15827084632495325
53,West,Liquid,0.10280218153986002
54,North,Total,0.0726267731651986
54,North,Solids,0.1335743435968122
54,North,Liquid,0.14951737885586255
54,South,Total,0.06305901229468507
54,South,Solids,0.10939334454473225
54,South,Liquid,0.1458371175855709
54,West,Total,0.06348258459054236
54,West,Solids,0.1118980803077526
54,West,Liquid,0.14243813852448686
55,North,Total,0.07318701916961798
55,North,Solids,0.12721267887510604
55,North,Liquid,0.1729041909287704
55,South,Total,0.06459044590115144
55,South,Solids,0.10826848392896675
55,South,Liquid,0.16263113306034027
55,West,Total,0.06402118959038357
55,West,Solids,0.11008229359301529
55,West,Liquid,0.1531134214350241
56,North,Total,0.06816809495375549
56,North,Solids,0.15058324032929057
56,North,Liquid,0.11559435968780617
56,South,Total,0.06082894765969194
56,South,Solids,0.12482488803280678
56,South,Liquid,0.11465002015113493
56,West,Total,0.0613832819332104
56,West,Solids,0.12777887778919578
56,West,Liquid,0.11385843910575201
