,us_node_id,ds_node_id,geometry,depth,flow,vol,conduit_height,conduit_width,conduit_shape,conduit_length,conduit_material,conduit_volume,conduit_xs,flow_xs,flow_perimeter,flow_area,flow_volume,flow_velocity,residence_time,conduit_av,conduit_hrt,conduit_hrt_inv,conduit_roughness,conduit_ff,conduit_ss
320X0001628.1,320X0001628,S-CO70055705,"LINESTRING (631937.7 5528532.2, 631936.4 5528474.4)",0.03,0.0,0.0,0.6,0.6,CIRC,57.9,CONC,16.37083931785641,0.2827433388230814,0.0052853316189842015,0.2706160870777574,15.668671441802154,0.30602070073918525,0.0,inf,51.201344889266885,0.0,0.0,1.0,0.022325259287691485,0.0
320X0001629.1,320X0001629,S-MH20015759,"LINESTRING (631936.3 5528470.8, 631936.1 5528458.9)",0.03,0.0,0.0,0.6,0.6,CIRC,11.9,CONC,3.3646457319946688,0.2827433388230814,0.0052853316189842015,0.2706160870777574,3.2203314362253135,0.062895446265912,0.0,inf,51.20134488926689,0.0,0.0,1.0,0.022325259287691485,0.0
321X0000353.1,321X0000353,S-CO70013231,"LINESTRING (632947.5800000001 5529540.932, 632950.1791000003 5529546.503699999)",0.02,0.0,0.0,0.3,0.3,CIRC,6.15,VC,0.4347178834404877,0.07068583470577035,0.002023774285023844,0.15669444654181464,0.96367084623216,0.012446211852896641,0.0,inf,77.42683939675045,0.0,0.0,0.5,0.022325259287691485,0.0
321X0000354.1,321X0000354,321X0000355,"LINESTRING (633547.1969999997 5529719.728, 633546.6500000004 5529718.551000001)",0.0225,0.0,0.0,0.45,0.45,CIRC,1.3,PVC,0.20675606651437825,0.15904312808798327,0.002972999035678603,0.20296206530831795,0.26385068490081337,0.0038648987463821838,0.0,inf,68.26845985235606,0.0,0.0,0.0015,0.006840707038020144,0.0
321X0000355.1,321X0000355,S-MH20017348,"LINESTRING (633546.6500000004 5529718.551000001, 633535.159 5529693.8533, 633532.9817000004 5529689.1996)",0.02205,0.0,0.0,0.441,0.441,CIRC,32.38,POLYC,4.945883754584338,0.15274502021569913,0.00285526827386573,0.19890282400215176,6.440473441189674,0.09245358670777233,0.0,inf,69.661693726894,0.0,0.0,0.5,0.02024967190709316,0.0
321X0000356.1,321X0000356,S-MH20017269,"LINESTRING (633859.608 5529337.632999999, 633844.1941999998 5529344.478, 633844.0878999997 5529344.5252, 633809.3 5529360)",0.060430000000000005,0.0,0.0,0.3,0.3,CIRC,55.04,CO,3.8905483422055998,0.07068583470577035,0.010167480735646842,0.27926212702514475,15.370587471463967,0.5596181396900022,0.0,inf,27.46620665294808,0.0,0.0,1.0,0.026957107444510676,0.0
321X0000359.1,321X0000359,321X0000360,"LINESTRING (633966.5669999998 5529287.83, 633973.3650000002 5529284.661)",0.045,0.0,0.0,0.45,0.45,CIRC,7.5,UNKN,1.1928234606598744,0.15904312808798327,0.008277243632660025,0.2895754989569779,2.171816242177334,0.06207932724495019,0.0,inf,34.98453250963668,0.0,0.0,1.0,0.024090558084295017,0.0
321X0000360.1,321X0000360,321X0000362,"LINESTRING (633973.3650000002 5529284.661, 633988.0480000004 5529277.817)",0.0225,0.0,0.0,0.45,0.45,CIRC,15.1,UNKN,2.401551234128547,0.15904312808798327,0.002972999035678603,0.20296206530831795,3.064727186155601,0.044892285438746904,0.0,inf,68.26845985235605,0.0,0.0,1.0,0.024090558084295017,0.0
321X0000362.1,321X0000362,S-CO70011923,"LINESTRING (633988.0480000004 5529277.817, 634007.9521000003 5529268.543500001)",0.0225,0.0,0.0,0.45,0.45,CIRC,21.16,UNKN,3.365352590341726,0.15904312808798327,0.002972999035678603,0.20296206530831795,4.294677301924008,0.06290865959495924,0.0,inf,68.26845985235605,0.0,0.0,1.0,0.024090558084295017,0.0
321X0000366.1,321X0000366,S-MH70032775,"LINESTRING (633001.7 5529661.4, 632999.6 5529661.7)",0.03,0.0,0.0,0.3,0.3,CIRC,2.14,PVC,0.15126768627034856,0.07068583470577035,0.0036787749478489062,0.19305033263798532,0.4131277118452886,0.00787257838839666,0.0,inf,52.476798764454955,0.0,0.0,0.0015,0.007257340448485058,0.0
321X0001637.1,321X0001637,321X0001638,"LINESTRING (632831.4369999999 5529816.359999999, 632833.2489999998 5529815.513)",0.020830000000000005,0.0,0.0,0.3,0.3,CIRC,2.0,POLYF,0.1413716694115407,0.07068583470577035,0.0021491839776814903,0.15999046158704133,0.31998092317408267,0.0042983679553629806,0.0,inf,74.44242244893191,0.0,0.0,0.0015,0.007257340448485058…252144 tokens truncated…99999999994,0.45,0.45,CIRC,14.1,PVC,2.242508106040564,0.15904312808798327,0.0034591190828869856,0.2137887530211533,3.0144214175982613,0.048773579068706496,0.06070909817442126,232.25513842241185,61.80439236070615,0.06451531622844774,15.50019527857564,0.0015,0.006840707038020144,0.0025212072927386243
S-CO70016900.1,S-CO70016900,S-MH60004465,"LINESTRING (630755.3197999997 5524782.165899999, 630753.4 5524720.6)",0.03192199999999999,0.000218,0.043247999999999995,0.45,0.45,CIRC,61.6,CO,9.797056690219769,0.15904312808798327,0.00499131454617921,0.24263585553246503,14.946368700799846,0.30746497604463935,0.043675868948567134,1410.389798369905,48.61161389201564,0.39177494399164037,2.5524858476435335,1.0,0.024090558084295017,0.004595470361074745
S-CO70016919.1,S-CO70016919,S-MH70016295,"LINESTRING (632661.9447999997 5525460.859999999, 632664.3119999999 5525462.158600001, 632664.8380000005 5525462.4472, 632677.8134000003 5525469.566199999, 632678.2518999996 5525469.806700001, 632684.7395000001 5525473.3661)",0.03,0.0,0.0,0.3,0.3,CIRC,26.0,PVC,1.837831702350029,0.07068583470577035,0.0036787749478489062,0.19305033263798532,5.019308648587618,0.09564814864407156,0.0,inf,52.47679876445495,0.0,0.0,0.0015,0.007257340448485058,0.0
S-CO70016959.1,S-CO70016959,S-MH60010257,"LINESTRING (633346.7 5524256.7, 633350.9 5524259)",0.023825999999999996,0.00038599999999999995,0.144082,0.3,0.3,CIRC,4.8,PVC,0.33929200658769765,0.07068583470577035,0.0026208858499975757,0.17141149339601036,0.8227751683008497,0.012580252079988363,0.14727844785775657,32.59132663209421,65.40212096462305,0.009053146286692836,110.45883589331743,0.0015,0.007257340448485058,0.015741854496107283
S-CO70016960.1,S-CO70016960,S-MH60010253,"LINESTRING (633422.6 5524298.8, 633426.6 5524301)",0.024946,0.000402,0.12513800000000003,0.375,0.375,CIRC,4.5,PVC,0.4970097752749477,0.11044661672776616,0.003152049913331248,0.19565146790020882,0.8804316055509397,0.014184224609990616,0.1275360514755129,35.28414082087218,62.071183287016645,0.009801150228020049,102.02884118041032,0.0015,0.007023488505793389,0.011424016196738405
S-CO70016961.1,S-CO70016961,S-MH60010265,"LINESTRING (633430.8 5524303.3, 633502 5524342.8)",0.038648,0.00041400000000000003,0.068826,0.375,0.375,CIRC,81.5,VC,9.001399263312942,0.11044661672776616,0.006008130734231412,0.2451139625155777,19.976787945019584,0.4896626548398601,0.06890662309347381,1182.7600358450727,40.79704210147049,0.32854445440140906,3.0437281366442424,0.5,0.0210862630572946,0.01001201644101093
S-CO70016979.1,S-CO70016979,S-CO70016980,"LINESTRING (632127.1988000004 5524973.1965, 632122.0258 5524970.358999999, 632092.1520999996 5524953.9727, 632083.2150999997 5524949.070499999)",0.02,0.0,0.0,0.3,0.3,CIRC,50.17,VC,3.5463083271884983,0.07068583470577035,0.002023774285023844,0.15669444654181464,7.8613603830028405,0.10153275587964625,0.0,inf,77.42683939675045,0.0,0.0,0.5,0.022325259287691485,0.0
S-CO70016980.1,S-CO70016980,S-MH60009847,"LINESTRING (632083.2150999997 5524949.070499999, 632079.6144000003 5524947.0955)",0.02,0.0,0.0,0.3,0.3,CIRC,4.11,PVC,0.2905187806407162,0.07068583470577035,0.002023774285023844,0.15669444654181464,0.6440141752868582,0.008317712311447999,0.0,inf,77.42683939675045,0.0,0.0,0.0015,0.007257340448485058,0.0
